function_name,execution_time,memory_used_mb,memory_peak_mb,timestamp
model_fitting,0.010607719421386719,0.00390625,146.390625,2025-07-27 08:18:08.531723
model_fitting,0.011580228805541992,0.0,146.39453125,2025-07-27 08:18:08.555777
model_fitting,0.01705312728881836,0.00390625,146.40234375,2025-07-27 08:18:08.581054
model_fitting,0.01399850845336914,0.02734375,146.4296875,2025-07-27 08:18:08.606415
model_fitting,0.010092020034790039,0.03125,146.46484375,2025-07-27 08:18:08.629012
model_fitting,0.010048389434814453,0.04296875,146.51171875,2025-07-27 08:18:08.649292
model_fitting,0.011302471160888672,0.0,146.515625,2025-07-27 08:18:08.670780
model_fitting,0.016301870346069336,0.0,146.515625,2025-07-27 08:18:08.694144
model_fitting,0.013382911682128906,0.0,146.51953125,2025-07-27 08:18:08.717651
model_fitting,0.01916980743408203,0.00390625,146.5234375,2025-07-27 08:18:08.747918
model_fitting,0.02409505844116211,0.00390625,146.53125,2025-07-27 08:18:08.787653
model_fitting,0.01275181770324707,0.0,146.53515625,2025-07-27 08:18:08.815858
model_fitting,0.022874116897583008,0.0,146.53515625,2025-07-27 08:18:08.861119
model_fitting,0.02171802520751953,0.00390625,146.5390625,2025-07-27 08:18:08.896100
model_fitting,0.01610088348388672,0.00390625,146.546875,2025-07-27 08:18:08.927701
model_fitting,0.005793094635009766,0.0,146.546875,2025-07-27 08:18:08.944390
model_fitting,0.0269167423248291,0.0078125,146.5546875,2025-07-27 08:18:08.971982
model_fitting,0.019328594207763672,0.0,146.55859375,2025-07-27 08:18:09.007784
model_fitting,0.021936655044555664,0.0,146.55859375,2025-07-27 08:18:09.044702
model_fitting,0.017453670501708984,0.00390625,146.56640625,2025-07-27 08:18:09.072521
model_fitting,0.010580301284790039,0.0078125,146.57421875,2025-07-27 08:18:09.092110
model_fitting,0.01581406593322754,0.01953125,146.59375,2025-07-27 08:18:09.120924
model_fitting,0.02107834815979004,0.0,146.59375,2025-07-27 08:18:09.160725
model_fitting,0.05808877944946289,0.00390625,146.59765625,2025-07-27 08:18:09.234410
model_fitting,0.02124786376953125,0.0,146.6015625,2025-07-27 08:18:09.330101
model_fitting,0.009989023208618164,0.0,146.79296875,2025-07-27 08:18:11.350114
model_fitting,0.010208606719970703,0.0,146.796875,2025-07-27 08:18:11.373848
model_fitting,0.009781837463378906,0.0,146.796875,2025-07-27 08:18:11.396858
model_fitting,0.010953187942504883,0.01171875,146.80859375,2025-07-27 08:18:11.415669
model_fitting,0.014902830123901367,0.02734375,146.8359375,2025-07-27 08:18:11.440334
model_fitting,0.009968042373657227,0.0,146.8359375,2025-07-27 08:18:11.458437
model_fitting,0.009646177291870117,0.0,146.8359375,2025-07-27 08:18:11.480117
model_fitting,0.01246500015258789,0.0,146.83984375,2025-07-27 08:18:11.501235
model_fitting,0.013761520385742188,0.0,146.83984375,2025-07-27 08:18:11.522223
model_fitting,0.06878399848937988,0.0,146.84375,2025-07-27 08:18:11.603198
model_fitting,0.011595010757446289,0.0,146.84375,2025-07-27 08:18:11.624710
model_fitting,0.01921248435974121,0.0,146.84765625,2025-07-27 08:18:11.658903
model_fitting,0.011947154998779297,0.0,146.84765625,2025-07-27 08:18:11.684694
model_fitting,0.013948678970336914,0.0,146.84765625,2025-07-27 08:18:11.705922
model_fitting,0.010893106460571289,0.0,146.84765625,2025-07-27 08:18:11.725647
model_fitting,0.013826847076416016,0.0,146.8515625,2025-07-27 08:18:11.752432
model_fitting,0.013284921646118164,0.0,146.8515625,2025-07-27 08:18:11.772651
model_fitting,0.010289669036865234,0.0,146.85546875,2025-07-27 08:18:11.791331
model_fitting,0.010213613510131836,0.0,146.85546875,2025-07-27 08:18:11.813207
model_fitting,0.010866403579711914,0.00390625,146.86328125,2025-07-27 08:18:11.832624
model_fitting,0.012015104293823242,0.0,146.86328125,2025-07-27 08:18:11.853771
model_fitting,0.011824369430541992,0.0,146.8671875,2025-07-27 08:18:11.873599
model_fitting,0.012407064437866211,0.00390625,146.87109375,2025-07-27 08:18:11.895893
model_fitting,0.012099504470825195,0.0078125,146.8828125,2025-07-27 08:18:11.917619
model_fitting,0.008381843566894531,0.0,146.90625,2025-07-27 08:18:13.804054
