entry_date,exit_date,entry_price,exit_price,direction,pnl,holding_period
2024-06-04,2024-07-08,144.6065184818511,153.13453830993816,short,-29.848069398304688,22
2024-04-02,2024-07-08,36.920143178137906,23.34640262799242,short,-47.508091925509206,66
2024-04-08,2024-05-24,-15.4117709384182,-17.332267806622184,short,-6.721739038713942,34
2024-05-30,2024-06-03,-19.80697162425615,-16.75135222169375,short,10.694667908968398,2
2024-06-06,2024-07-08,-20.039696539441692,-24.708997134380468,short,-16.342552082285714,20
2024-04-02,2024-05-23,66.63203585586635,68.8252460514382,short,-30.70494273800591,37
2024-06-18,2024-07-01,66.20578696377808,70.64102588410988,short,15.523336221161294,8
2024-04-03,2024-05-23,60.08258870859612,63.52376399923353,short,-12.044113517230937,36
2024-06-14,2024-06-26,59.99460462679172,64.78443076024087,short,16.764391467072013,7
2024-04-09,2024-05-17,40.74354305426857,40.015672865409186,short,2.5475456610078453,28
2024-06-04,2024-06-12,35.15516041350871,39.903586372632404,short,16.619490856932927,6
2024-07-08,2024-07-08,44.682373024763834,44.682373024763834,short,-0.0,0
2024-10-01,2024-11-14,123.56767371077831,129.37888065253668,short,40.6784485923086,32
2024-12-17,2025-01-06,135.82510647043267,103.81238840136893,short,112.04451324172308,12
2024-10-10,2024-11-15,637.1831508059042,625.9947217361103,short,39.15950174427894,26
2024-11-25,2025-01-06,641.5393543269056,552.4226194653676,short,311.9085720153831,27
2024-10-09,2024-11-18,598.6405500243611,594.8197694788374,short,13.372731909332913,28
2024-11-25,2025-01-06,611.6667859409805,523.0912300749011,short,310.01444553127794,27
2024-10-09,2025-01-06,641.1804811479187,565.5315269733808,short,264.7713396108828,60
2024-10-03,2025-01-06,591.8500937509532,516.4554855267077,short,263.88112878485936,64
2024-10-10,2024-11-14,704.0883335973652,687.7980959912729,short,57.015831621323116,25
2024-11-19,2024-11-20,667.2469310872881,691.1160428449714,short,83.54189115189155,1
2024-12-04,2025-01-06,704.366101790164,612.3427968693246,short,322.0815672229377,21
2024-10-02,2024-12-05,494.7840383556029,493.61905320475444,short,4.077448027969581,45
2024-12-06,2025-01-06,465.19973401510316,435.6395648933109,short,-103.460591926273,19
2024-10-01,2024-11-15,387.700037355895,371.38402963123514,short,114.21205407261908,33
2024-11-21,2024-12-30,409.2291932406749,397.4489658400555,short,164.92318360867114,25
2024-10-01,2024-11-15,379.6013237257273,362.0984230424269,short,122.52030478310297,33
2024-11-21,2024-12-30,400.5506018935855,389.2785670977248,short,157.80848714204967,25
2024-10-01,2024-11-08,338.81970973723617,317.87976523198023,short,146.57961153679156,28
2024-11-21,2024-12-18,364.836647803191,339.5367769213145,short,354.1981923462706,18
2024-10-01,2024-11-15,387.47109851651345,371.40213593813866,short,112.48273804862356,33
2024-11-21,2024-12-30,409.35613504984036,397.95575667295157,short,159.60529727644314,25
2024-10-22,2024-11-08,-20.677661248962977,-24.02909263869941,short,11.730009864077516,13
2024-11-14,2025-01-06,-4.704954917050031,71.37505876027797,short,-266.280047870648,34
2024-10-01,2024-11-11,302.99875062764215,289.2032542996963,short,96.56847429562089,29
2024-11-13,2024-11-14,276.8512419543441,286.2236028832913,short,32.80326325131506,1
2024-11-21,2025-01-02,326.7015718924654,313.11363809470765,short,190.2310731686082,27
2024-10-01,2024-11-05,439.2746280778078,421.2824083379528,short,125.94553817898492,25
2024-11-21,2024-12-18,458.3581203089582,446.5815642120015,short,164.87178535739315,18
2024-10-01,2024-10-10,9.233691313367643,19.324956651458336,short,35.319428683317426,7
2024-10-22,2025-01-06,34.49895387631659,69.5199259369966,short,-490.2936088495201,51
2024-10-02,2024-10-30,-21.324634723353796,-21.547699980603383,short,-0.7807284003735546,20
2024-10-31,2025-01-06,-16.59949256443511,-29.734313714390083,short,91.94374804968481,44
